     CD       T1-61.0 m/s-VLM1    
   0.01142354        -0.2426805  
   0.01124505        -0.2342526  
   0.01107198        -0.2258225  
   0.01090438        -0.2173901  
   0.01074257        -0.2089557  
   0.01058662        -0.2005192  
   0.01043681        -0.1920807  
   0.01029385        -0.1836403  
   0.01015653         -0.175198  
   0.01002464        -0.1667538  
  0.009898241        -0.1583078  
  0.009777633        -0.1498601  
  0.009663023        -0.1414107  
  0.009555018        -0.1329597  
  0.009453622        -0.1245072  
   0.00935768        -0.1160531  
   0.00926722        -0.1075975  
  0.009182244       -0.09914051  
  0.009103029       -0.09068218  
   0.00903005       -0.08222255  
  0.008964187       -0.07376168  
  0.008904359       -0.06529961  
  0.008850005        -0.0568364  
  0.008801167       -0.04837211  
  0.008757848       -0.03990679  
  0.008720215        -0.0314405  
  0.008689216       -0.02297329  
  0.008665619       -0.01450521  
   0.00864756      -0.006036326  
  0.008635007       0.002433317  
  0.008627964        0.01090366  
  0.008626435        0.01937465  
  0.008630492        0.02784623  
  0.008641983        0.03631835  
  0.008660182        0.04479096  
   0.00868391        0.05326398  
  0.008713167        0.06173739  
  0.008747959        0.07021111  
  0.008788286        0.07868509  
  0.008834151        0.08715928  
  0.008887933        0.09563363  
  0.008947884         0.1041081  
  0.009013428         0.1125826  
  0.009084537          0.121057  
   0.00916121         0.1295314  
  0.009243439         0.1380057  
  0.009331602         0.1464798  
  0.009427342         0.1549537  
  0.009528957         0.1634273  
  0.009636176         0.1719006  
  0.009748997         0.1803735  
  0.009867377         0.1888459  
  0.009991338         0.1973178  
   0.01012188         0.2057891  
   0.01025924         0.2142599  
   0.01040248         0.2227299  
   0.01055134         0.2311993  
   0.01070578         0.2396678  
   0.01086579         0.2481355  
   0.01103157         0.2566024  
   0.01120422         0.2650683  
   0.01138313         0.2735332  
   0.01156796          0.281997  
   0.01175837         0.2904597  
   0.01195437         0.2989213  
   0.01215592         0.3073816  
   0.01236373         0.3158407  
   0.01257815         0.3242984  
   0.01279863         0.3327548  
   0.01302502         0.3412097  
     0.013257         0.3496632  
   0.01349452          0.358115  
   0.01373776         0.3665653  
    0.0139875          0.375014  
    0.0142433         0.3834609  
   0.01450504          0.391906  
   0.01477258         0.4003493  
   0.01504576         0.4087908  
   0.01532443         0.4172303  
   0.01560916         0.4256678  
   0.01590014         0.4341033  
   0.01619701         0.4425368  
   0.01649972          0.450968  
    0.0168081         0.4593971  
   0.01712215         0.4678239  
   0.01741298         0.4762483  
   0.01770528         0.4846705  
   0.01798785         0.4930902  
   0.01825874         0.5015074  
   0.01851655         0.5099221  
   0.01886388         0.5183342  
   0.01921679         0.5267437  
   0.01957557         0.5351504  
   0.01994034         0.5435545  
   0.02031085         0.5519557  
   0.02068708         0.5603541  
    0.0210689         0.5687496  
   0.02145621         0.5771421  
   0.02184915         0.5855316  
   0.02265344         0.6023013  
   0.02306433         0.6106815  
    0.0234807         0.6190584  
   0.02390309          0.627432  
   0.02433093         0.6358022  
